IDTIPOORGPOLITICA;TXTIPOORGPOLITICA;IDORGPOLITICA;TXORGPOLITICA;TXUBIGEO
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000003;JÓVENES DEL MAÑANA;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000004;EL TIEMPO ES RÁPIDO PARA LOS TEMEROSOS;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000005;TODOS POR EL GRAN CAMBIO;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000006;EL TIEMPO ES LARGO PARA LOS QUE SE LAMENTAN;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000007;LUCHEMOS POR LA PAZ;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000008;LA VIDA NO ES UN DON GRATUITO;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000009;LOS PERUANOS SI PODEMOS;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000010;ENCAMINEMOS NUESTRO FUTURO;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000011;LIBRES SEÁMOSLO SIEMPRE;000000
13;Candidato Representante al Parlamento Andino;00000012;SIEMBRA PAZ Y COSECHA AMOR;000000
13;Candidato Representante al Parlamento Andino;00000012;SIEMBRA PAZ Y COSECHA AMOR;000000
13;Candidato Representante al Parlamento Andino;00000012;SIEMBRA PAZ Y COSECHA AMOR;000000
13;Candidato Representante al Parlamento Andino;00000012;SIEMBRA PAZ Y COSECHA AMOR;000000
13;Candidato Representante al Parlamento Andino;00000012;SIEMBRA PAZ Y COSECHA AMOR;000000
